order_id,product,category,quantity,price,date
1001,Apple iPhone 13,Electronics,2,799.0,2024-01-01
1002,Samsung Galaxy S21,Electronics,1,699.0,2024-01-02
1003,Men T-Shirt,Clothing,3,19.99,2024-01-03
1004,Women Jeans,Clothing,2,49.99,2024-01-03
1005,Wooden Table,Furniture,1,199.99,2024-01-04
1006,Office Chair,Furniture,2,89.99,2024-01-05
1007,Basketball,Sports,1,29.99,2024-01-05
1008,Running Shoes,Sports,1,59.99,2024-01-06
1009,Coffee Mug,Home & Kitchen,4,8.99,2024-01-06
1010,Notebook,Stationery,5,2.99,2024-01-07
